Quarter,Quarter Sort Val,College,Department,Major,NewFreshman-M,NewFreshman-F,NewFreshman-Total,Freshman-M,Freshman-F,Freshman-Total,Sophomore-M,Sophomore-F,Sophomore-Total,Junior-M,Junior-F,Junior-Total,Senior-M,Senior-F,Senior-Total,Special-M,Special-F,Special-Total,Total-M,Total-F,Total
fa12,123,MARSHALL,ANTH,Anth-Arch,0,1,1,0,0,0,0,1,1,1,1,2,1,2,3,0,0,0,2,5,7
fa12,123,MARSHALL,ANTH,Anth-Biol,0,0,0,0,0,0,0,0,0,0,6,6,4,4,8,0,0,0,4,10,14
fa12,123,MARSHALL,ANTH,Anth-Soci,0,2,2,0,0,0,0,1,1,0,2,2,0,4,4,0,0,0,0,9,9
fa12,123,MARSHALL,BENG,Bioen:Binf,2,4,6,1,0,1,1,0,1,2,2,4,3,2,5,0,0,0,9,8,17
fa12,123,MARSHALL,BENG,Bioeng:PM,0,0,0,0,0,0,0,0,0,0,1,1,3,3,6,0,0,0,3,4,7
fa12,123,MARSHALL,BENG,BioengBiot,6,2,8,0,0,0,1,1,2,4,6,10,15,8,23,0,0,0,26,17,43
fa12,123,MARSHALL,BENG,Bioengin,0,2,2,0,0,0,3,2,5,4,3,7,4,2,6,0,0,0,11,9,20
fa12,123,MARSHALL,BIOL,Bioc/CellB,9,19,28,1,1,2,3,10,13,9,15,24,28,43,71,0,0,0,50,88,138
fa12,123,MARSHALL,BIOL,BiolBioinf,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2
fa12,123,MARSHALL,BIOL,Ec/Beh/Evo,0,0,0,0,0,0,0,0,0,2,2,4,2,2,4,0,0,0,4,4,8
fa12,123,MARSHALL,BIOL,Genl Biol,6,20,26,1,0,1,2,6,8,8,18,26,32,60,92,0,0,0,49,104,153
fa12,123,MARSHALL,BIOL,Human Bio,17,40,57,1,0,1,13,17,30,14,34,48,41,58,99,0,0,0,86,149,235
fa12,123,MARSHALL,BIOL,Microbiol,1,0,1,0,0,0,0,3,3,1,4,5,5,7,12,0,0,0,7,14,21
fa12,123,MARSHALL,BIOL,Molec Biol,4,2,6,0,0,0,0,1,1,0,1,1,3,2,5,0,0,0,7,6,13
fa12,123,MARSHALL,BIOL,PhyslNeuro,8,18,26,0,1,1,2,6,8,4,10,14,24,17,41,0,0,0,38,52,90
fa12,123,MARSHALL,CENG,Chem Engin,5,13,18,0,0,0,4,7,11,16,5,21,19,11,30,0,0,0,44,36,80
fa12,123,MARSHALL,CGS,CritGendSt,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
fa12,123,MARSHALL,CHEM,Bioch/Chem,9,15,24,0,1,1,4,6,10,13,17,30,18,32,50,0,0,0,44,71,115
fa12,123,MARSHALL,CHEM,Bioinform,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,2
fa12,123,MARSHALL,CHEM,Chem Phys,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
fa12,123,MARSHALL,CHEM,Chemistry,5,6,11,0,0,0,1,3,4,9,5,14,12,11,23,0,0,0,27,25,52
fa12,123,MARSHALL,CHEM,Envir Chem,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,2,1,3
fa12,123,MARSHALL,CHEM,Pharm Chem,4,8,12,0,0,0,0,5,5,2,11,13,14,20,34,0,0,0,20,44,64
fa12,123,MARSHALL,CHIN,Chinese St,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
fa12,123,MARSHALL,CLAS,Classic St,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
fa12,123,MARSHALL,COGS,Cog Sci,2,3,5,0,0,0,2,6,8,5,5,10,5,7,12,0,0,0,14,21,35
fa12,123,MARSHALL,COGS,CogSc/ClAs,0,0,0,0,1,1,0,1,1,0,0,0,1,5,6,0,0,0,1,7,8
fa12,123,MARSHALL,COGS,CogSc/Comp,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
fa12,123,MARSHALL,COGS,CogSc/HCI,0,1,1,0,0,0,1,3,4,1,3,4,5,3,8,0,0,0,7,10,17
fa12,123,MARSHALL,COGS,CogSc/HCog,0,1,1,0,0,0,1,2,3,0,1,1,0,0,0,0,0,0,1,4,5
fa12,123,MARSHALL,COGS,CogSc/Neur,0,2,2,0,0,0,1,1,2,3,8,11,8,11,19,0,0,0,12,22,34
fa12,123,MARSHALL,COMM,Communic,7,10,17,0,1,1,2,11,13,13,54,67,16,55,71,0,0,0,38,131,169
fa12,123,MARSHALL,CSE,Comp Sci,24,6,30,2,0,2,18,3,21,36,4,40,37,16,53,0,0,0,117,29,146
fa12,123,MARSHALL,CSE,CompEngCSE,13,0,13,0,0,0,3,3,6,8,1,9,13,1,14,0,0,0,37,5,42
fa12,123,MARSHALL,CSE,CompScBinf,1,0,1,0,0,0,0,0,0,2,1,3,3,0,3,0,0,0,6,1,7
fa12,123,MARSHALL,ECE,CompEngECE,6,0,6,0,0,0,1,0,1,2,0,2,2,1,3,0,0,0,11,1,12
fa12,123,MARSHALL,ECE,Electr Eng,15,8,23,0,0,0,4,1,5,18,1,19,33,4,37,0,0,0,70,14,84
fa12,123,MARSHALL,ECE,EleEng&Soc,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
fa12,123,MARSHALL,ECE,Engin Phys,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fa12,123,MARSHALL,ECE,Pr-EngPhys,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fa12,123,MARSHALL,ECON,Ec-Mth&Ecn,4,6,10,1,0,1,5,1,6,5,4,9,7,6,13,0,0,0,22,17,39
fa12,123,MARSHALL,ECON,Econ-MgtSc,6,5,11,2,1,3,5,11,16,36,30,66,51,38,89,0,0,0,100,85,185
fa12,123,MARSHALL,ECON,Economics,23,17,40,0,0,0,18,11,29,72,66,138,69,60,129,0,0,0,182,154,336
fa12,123,MARSHALL,ESYS,EnvSys(EB),2,1,3,0,0,0,2,2,4,2,4,6,6,18,24,0,0,0,12,25,37
fa12,123,MARSHALL,ESYS,EnvSys(EC),0,0,0,0,0,0,0,0,0,1,0,1,2,1,3,0,0,0,3,1,4
fa12,123,MARSHALL,ESYS,EnvSys(EP),1,0,1,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,2,2,4
fa12,123,MARSHALL,ESYS,EnvSys(ES),1,1,2,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,3,3,6
fa12,123,MARSHALL,ETHN,Ethnic St,0,0,0,0,0,0,0,0,0,1,4,5,3,3,6,0,0,0,4,7,11
fa12,123,MARSHALL,HDP,Human Dev,0,0,0,0,0,0,0,0,0,2,8,10,4,33,37,0,0,0,6,41,47
fa12,123,MARSHALL,HDP,Pr-HumnDev,0,2,2,0,3,3,2,16,18,2,16,18,1,4,5,0,0,0,5,41,46
fa12,123,MARSHALL,HIST,History,1,1,2,0,0,0,3,1,4,11,5,16,16,15,31,0,0,0,31,22,53
fa12,123,MARSHALL,INTL,Int-5yrEC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
fa12,123,MARSHALL,INTL,IntSt-Anth,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,3,3
fa12,123,MARSHALL,INTL,IntSt-Econ,0,1,1,0,0,0,2,7,9,2,13,15,8,8,16,0,0,0,12,29,41
fa12,123,MARSHALL,INTL,IntSt-Hist,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,2,3
fa12,123,MARSHALL,INTL,IntSt-Ling,0,1,1,0,0,0,0,1,1,1,1,2,1,0,1,0,0,0,2,3,5
fa12,123,MARSHALL,INTL,IntSt-PolS,0,2,2,0,0,0,1,2,3,4,7,11,5,15,20,0,0,0,10,26,36
fa12,123,MARSHALL,INTL,IntSt-Soc,0,2,2,1,0,1,0,3,3,4,4,8,1,6,7,0,0,0,6,15,21
fa12,123,MARSHALL,JAPN,JapaneseSt,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
fa12,123,MARSHALL,JUDA,Judaic Stu,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
fa12,123,MARSHALL,LATI,LatinAm St,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2
fa12,123,MARSHALL,LING,Lang Stu,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,0,1,3,4
fa12,123,MARSHALL,LING,Ling-CogLn,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,4
fa12,123,MARSHALL,LING,Ling-LSoc,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3,3
fa12,123,MARSHALL,LING,Linguistcs,0,0,0,0,0,0,0,0,0,3,2,5,3,1,4,0,0,0,6,3,9
fa12,123,MARSHALL,LIT,Ital Lit,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
fa12,123,MARSHALL,LIT,Lit/Compos,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
fa12,123,MARSHALL,LIT,Lit/CultSt,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
fa12,123,MARSHALL,LIT,Lit/Engl,0,2,2,0,0,0,1,1,2,2,2,4,4,4,8,0,0,0,7,9,16
fa12,123,MARSHALL,LIT,Lit/Writng,2,4,6,0,0,0,0,0,0,1,2,3,5,6,11,0,0,0,8,12,20
fa12,123,MARSHALL,LIT,Pre-Lit/Wr,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
fa12,123,MARSHALL,LIT,Spanish Lt,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,2,3
fa12,123,MARSHALL,MAE,Aerosp Eng,2,0,2,0,0,0,5,0,5,4,2,6,14,5,19,0,0,0,25,7,32
fa12,123,MARSHALL,MAE,Engin Sci,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,2,1,3
fa12,123,MARSHALL,MAE,Envir Eng,6,3,9,1,0,1,1,0,1,4,2,6,8,3,11,0,0,0,20,8,28
fa12,123,MARSHALL,MAE,Mech Engin,3,0,3,0,0,0,6,1,7,7,1,8,31,8,39,0,0,0,47,10,57
